original_cluster,description
1,"Workday Morning, short"
2,Workday Morning
3,"Workday Morning, more unpaid"
4,Workday 9 to 5
5,"Workday 9 to 5, more leisure"
6,"Workday 9 to 5, unpaid evening"
7,"Workday 9 to 5, other evening"
8,"Workday 9 to 5, long"
9,"Workday 9 to 5, no leisure"
10,"Workday 9 to 5, long leisure"
11,"Workday 9 to 5, night leisure"
12,Workday Afternoon
13,"Workday Afternoon, short with unpaid"
14,"Workday Afternoon, short"
15,"Workday Afternoon, long"
16,"Unpaid and Leisure, morning unpaid"
17,"Unpaid and Leisure, morning unpaid"
18,"Leisure, interrupted"
19,"Leisure, interrupted"
20,"Leisure, interrupted"
21,"Unpaid and Leisure, unpaid afternoon"
22,"Unpaid and Leisure, unpaid afternoon"
23,"Disrupted Day, short"
24,"Disrupted Day, mixed"
25,"Disrupted Day, mixed"
26,"Disrupted Day, mixed"
27,"Unpaid Workday, long"
28,"Unpaid Workday, lunch"
29,Unpaid Workday
30,"Unpaid and Leisure, morning unpaid, late start"
31,"Other and Leisure, other afternoon"
32,"Other and Leisure, other afternoon"
33,"Other and Leisure, other afternoon"
34,"Other and Leisure, other morning"
35,"Other and Leisure, other morning"
36,"Disrupted Day, short leisure evening"
37,"Disrupted Day, short leisure evening"
38,"Rest, interrupted"
39,"Leisure, all day, late start"
40,"Leisure, slightly interrupted, late start"
41,"Leisure, interrupted, late start"
42,"Leisure, interrupted, late start"
43,"Other and Leisure, other morning, late start"
44,"Other and Leisure, other morning, late start"
45,"Unpaid and Leisure, morning unpaid, late start"
46,"Unpaid and Leisure, morning unpaid, late start"
47,"Leisure, all day"
48,"Leisure, all day"
49,"Disrupted Day, long leisure evening"
50,"Disrupted Day, long leisure evening"
51,"Disrupted Day, long leisure evening"
52,"Disrupted Day, long leisure evening"
53,"Disrupted Day, overnight"
54,"Disrupted Day, overnight"
55,"Disrupted Day, overnight"
56,"Disrupted Day, overnight"
57,"Disrupted Day, overnight"
58,"Workday, night shift"
59,"Workday, night shift"
60,"Rest, all day"
